Rk,Player,Nation,Pos,Squad,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G_PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G_PK,Per_90_Minutes_G+A_PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG,Age
342,Scott McTominay,sct SCO,MF,Manchester Utd,1996.0,2,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,2,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.33,28.0
343,Ben Mee,eng ENG,DF,Brentford,1989.0,7,2,183,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3,11,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
344,Jayden Meghoma,eng ENG,DF,Brentford,2006.0,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
345,Mikel Merino,es ESP,"MF,FW",Arsenal,1996.0,27,16,1496,16.6,7,2,9,7,0,0,4,1,5.6,5.6,2.0,7.6,10,67,92,0.42,0.12,0.54,0.42,0.54,0.34,0.12,0.46,0.34,0.46,28.0
346,Shumaira Mheuka,eng ENG,MF,Chelsea,2007.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,5.06,0.0,5.06,5.06,5.06,17.0
347,Nikola Milenković,rs SRB,DF,Nott'ham Forest,1997.0,35,35,3150,35.0,4,2,6,4,0,0,4,0,3.6,3.6,1.0,4.6,3,49,6,0.11,0.06,0.17,0.11,0.17,0.1,0.03,0.13,0.1,0.13,27.0
348,Lewis Miley,eng ENG,MF,Newcastle Utd,2006.0,13,1,285,3.2,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.6,2,16,8,0.32,0.0,0.32,0.32,0.32,0.17,0.01,0.18,0.17,0.18,19.0
349,James Milner,eng ENG,MF,Brighton,1986.0,3,3,169,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,1,10,10,0.0,0.0,0.0,0.0,0.0,0.09,0.12,0.21,0.09,0.21,39.0
350,Tyrone Mings,eng ENG,DF,Aston Villa,1993.0,14,12,1120,12.4,0,0,0,0,0,0,1,0,0.8,0.8,0.2,1.0,7,40,1,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.08,0.07,0.08,32.0
351,Yankuba Minteh,gm GAM,"FW,MF",Brighton,2004.0,30,18,1666,18.5,6,4,10,6,0,0,6,0,4.0,4.0,4.9,8.9,77,42,174,0.32,0.22,0.54,0.32,0.54,0.21,0.26,0.48,0.21,0.48,20.0
