Rk,Player,Nation,Pos,Squad,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G_PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G_PK,Per_90_Minutes_G+A_PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG,Age
1,Max Aarons,eng ENG,DF,Bournemouth,2000.0,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
2,Joshua Acheampong,eng ENG,DF,Chelsea,2006.0,4,2,170,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,8,0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,19.0
3,Tyler Adams,us USA,MF,Bournemouth,1999.0,26,19,1785,19.8,0,3,3,0,0,0,7,0,1.6,1.6,1.0,2.5,13,69,9,0.0,0.15,0.15,0.0,0.15,0.08,0.05,0.13,0.08,0.13,26.0
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,1997.0,20,13,1229,13.7,1,1,2,1,0,0,3,0,0.9,0.9,0.2,1.1,5,37,1,0.07,0.07,0.15,0.07,0.15,0.07,0.02,0.08,0.07,0.08,27.0
5,Simon Adingra,ci CIV,"FW,MF",Brighton,2002.0,27,10,988,11.0,2,2,4,2,0,0,0,0,2.2,2.2,2.3,4.6,41,15,120,0.18,0.18,0.36,0.18,0.36,0.2,0.21,0.42,0.2,0.42,23.0
6,Emmanuel Agbadou,ci CIV,DF,Wolves,1997.0,14,14,1230,13.7,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.5,3,24,2,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,27.0
7,Asher Agbinone,eng ENG,MF,Crystal Palace,2005.0,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,0,1,0.0,0.0,0.0,0.0,0.0,0.29,0.5,0.79,0.29,0.79,19.0
8,Ola Aina,ng NGA,DF,Nott'ham Forest,1996.0,33,33,2823,31.4,2,1,3,2,0,0,4,0,0.6,0.6,1.1,1.8,63,103,59,0.06,0.03,0.1,0.06,0.1,0.02,0.04,0.06,0.02,0.06,28.0
9,Rayan Aït-Nouri,dz ALG,DF,Wolves,2001.0,35,35,2955,32.8,4,7,11,4,0,0,7,1,2.6,2.6,5.0,7.6,86,104,163,0.12,0.21,0.34,0.12,0.34,0.08,0.15,0.23,0.08,0.23,23.0
10,Kristoffer Ajer,no NOR,DF,Brentford,1998.0,22,17,1405,15.6,0,0,0,0,0,0,5,0,0.8,0.8,1.2,2.1,27,54,42,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.13,0.05,0.13,27.0
11,Manuel Akanji,ch SUI,DF,Manchester City,1995.0,24,21,1834,20.4,0,0,0,0,0,0,3,0,1.1,1.1,0.4,1.5,41,150,6,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,29.0
12,Nathan Aké,nl NED,DF,Manchester City,1995.0,10,8,678,7.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,12,50,2,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,30.0
13,Carlos Alcaraz,ar ARG,MF,Southampton,2002.0,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,0.0,0.0,0.0,0.0,0.0,0.62,0.86,1.48,0.62,1.48,22.0
14,Carlos Alcaraz,ar ARG,"FW,MF",Everton,2002.0,13,6,663,7.4,1,3,4,1,0,0,4,0,1.4,1.4,1.6,3.1,16,40,20,0.14,0.41,0.54,0.14,0.54,0.2,0.22,0.42,0.2,0.42,22.0
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,1998.0,32,28,2320,25.8,3,6,9,3,0,0,5,0,1.9,1.9,6.7,8.6,50,228,90,0.12,0.23,0.35,0.12,0.35,0.07,0.26,0.33,0.07,0.33,26.0
16,Alisson,br BRA,GK,Liverpool,1992.0,26,26,2328,25.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,32.0
17,Miguel Almirón,py PAR,FW,Newcastle Utd,1994.0,9,1,157,1.7,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.8,3,6,18,0.0,0.0,0.0,0.0,0.0,0.3,0.15,0.45,0.3,0.45,31.0
18,Edson Álvarez,mx MEX,MF,West Ham,1997.0,26,19,1660,18.4,0,1,1,0,0,0,8,1,0.3,0.3,0.8,1.1,22,76,18,0.0,0.05,0.05,0.0,0.05,0.02,0.04,0.06,0.02,0.06,27.0
19,Will Alves,eng ENG,FW,Leicester City,2005.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
20,Harry Amass,eng ENG,DF,Manchester Utd,2007.0,5,4,346,3.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,9,7,23,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,18.0
21,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,2006.0,2,0,28,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,0,3,0.0,0.0,0.0,0.0,0.0,0.07,0.22,0.29,0.07,0.29,18.0
22,Mathis Amougou,fr FRA,MF,Chelsea,2006.0,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
23,Joachim Andersen,dk DEN,DF,Crystal Palace,1996.0,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,4,1,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,28.0
24,Joachim Andersen,dk DEN,DF,Fulham,1996.0,27,27,2403,26.7,0,0,0,0,0,0,5,1,1.0,1.0,0.3,1.3,16,110,2,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,28.0
25,Elliot Anderson,eng ENG,MF,Nott'ham Forest,2002.0,35,31,2556,28.4,2,6,8,2,0,0,8,0,1.9,1.9,3.1,5.0,47,133,87,0.07,0.21,0.28,0.07,0.28,0.07,0.11,0.18,0.07,0.18,22.0
26,André,br BRA,MF,Wolves,2001.0,31,29,2337,26.0,0,0,0,0,0,0,7,0,0.4,0.4,0.8,1.2,8,98,11,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.04,0.02,0.04,23.0
27,Michail Antonio,jm JAM,FW,West Ham,1990.0,14,11,836,9.3,1,1,2,1,0,0,1,0,2.2,2.2,1.6,3.8,29,18,59,0.11,0.11,0.22,0.11,0.22,0.24,0.17,0.41,0.24,0.41,35.0
28,Antony,br BRA,"DF,MF",Manchester Utd,2000.0,8,0,141,1.6,0,0,0,0,0,0,0,0,1.0,1.0,0.1,1.1,5,6,7,0.0,0.0,0.0,0.0,0.0,0.65,0.08,0.73,0.65,0.73,25.0
29,Julian Araujo,mx MEX,DF,Bournemouth,2001.0,11,6,429,4.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,14,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
30,Cameron Archer,eng ENG,FW,Southampton,2001.0,33,13,1398,15.5,2,0,2,2,0,1,0,0,5.1,4.3,0.4,4.7,20,14,65,0.13,0.0,0.13,0.13,0.13,0.33,0.03,0.36,0.28,0.3,23.0
31,Alphonse Areola,fr FRA,GK,West Ham,1993.0,25,24,2170,24.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
32,Joe Aribo,ng NGA,"MF,DF",Southampton,1996.0,31,20,1954,21.7,3,0,3,3,0,0,1,0,2.7,2.7,1.6,4.3,35,72,65,0.14,0.0,0.14,0.14,0.14,0.12,0.07,0.2,0.12,0.2,28.0
33,Adam Armstrong,eng ENG,"FW,MF",Southampton,1997.0,20,15,1248,13.9,2,2,4,2,0,1,4,0,3.3,2.3,1.2,3.5,25,21,79,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25,28.0
34,Harrison Armstrong,eng ENG,MF,Everton,2007.0,3,0,48,0.5,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.4,1,1,0,0.0,0.0,0.0,0.0,0.0,0.69,0.14,0.82,0.69,0.82,18.0
35,Kepa Arrizabalaga,es ESP,GK,Bournemouth,1994.0,29,29,2610,29.0,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
36,Marco Asensio,es ESP,MF,Aston Villa,1996.0,11,7,609,6.8,3,1,4,3,0,2,2,0,4.3,2.7,0.8,3.5,18,37,26,0.44,0.15,0.59,0.44,0.59,0.63,0.12,0.75,0.4,0.52,29.0
37,Brandon Austin,eng ENG,GK,Tottenham,1999.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
38,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,1997.0,26,3,416,4.6,1,0,1,1,0,0,0,0,2.1,2.1,0.1,2.2,6,7,20,0.22,0.0,0.22,0.22,0.22,0.46,0.02,0.48,0.46,0.48,27.0
39,Yasin Ayari,se SWE,MF,Brighton,2003.0,32,20,1848,20.5,1,1,2,1,0,0,3,0,2.3,2.3,2.2,4.5,30,72,60,0.05,0.05,0.1,0.05,0.1,0.11,0.11,0.22,0.11,0.22,21.0
40,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,1991.0,1,0,21,0.2,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,0,0,1,0.0,0.0,0.0,0.0,0.0,1.96,0.21,2.17,1.96,2.17,33.0
41,Jordan Ayew,gh GHA,"FW,MF",Leicester City,1991.0,28,17,1485,16.5,5,0,5,4,1,1,5,0,3.0,2.2,1.0,3.2,43,39,79,0.3,0.0,0.3,0.24,0.24,0.18,0.06,0.24,0.13,0.19,33.0
42,Benoît Badiashile,fr FRA,DF,Chelsea,2001.0,5,3,334,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,17,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
43,Leon Bailey,jm JAM,"FW,MF",Aston Villa,1997.0,23,14,1138,12.6,1,2,3,1,0,0,3,0,1.7,1.7,1.5,3.3,57,35,121,0.08,0.16,0.24,0.08,0.24,0.14,0.12,0.26,0.14,0.26,27.0
44,Carlos Baleba,cm CMR,MF,Brighton,2004.0,32,29,2481,27.6,3,1,4,3,0,0,8,1,3.0,3.0,1.3,4.3,40,114,28,0.11,0.04,0.15,0.11,0.15,0.11,0.05,0.15,0.11,0.15,21.0
45,Ross Barkley,eng ENG,MF,Aston Villa,1993.0,18,3,571,6.3,3,1,4,3,0,0,3,0,1.7,1.7,0.6,2.3,15,33,10,0.47,0.16,0.63,0.47,0.63,0.27,0.1,0.37,0.27,0.37,31.0
46,Harvey Barnes,eng ENG,FW,Newcastle Utd,1997.0,31,15,1593,17.7,9,4,13,9,0,0,0,0,6.9,6.9,4.0,10.9,89,78,186,0.51,0.23,0.73,0.51,0.73,0.39,0.22,0.61,0.39,0.61,27.0
47,Calvin Bassey,ng NGA,DF,Fulham,1999.0,34,33,2984,33.2,1,0,1,1,0,0,7,0,1.0,1.0,0.1,1.2,39,114,15,0.03,0.0,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.03,25.0
48,Altay Bayındır,tr TUR,GK,Manchester Utd,1998.0,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
49,Jan Bednarek,pl POL,DF,Southampton,1996.0,30,30,2531,28.1,2,0,2,2,0,0,7,0,0.7,0.7,0.5,1.2,5,60,2,0.07,0.0,0.07,0.07,0.07,0.02,0.02,0.04,0.02,0.04,29.0
50,Armel Bella Kotchap,de GER,DF,Southampton,2001.0,4,2,331,3.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,5,0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,23.0
51,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,1998.0,33,19,1583,17.6,2,6,8,2,0,0,3,0,1.4,1.4,3.6,5.0,51,39,85,0.11,0.34,0.45,0.11,0.45,0.08,0.2,0.28,0.08,0.28,26.0
52,Rodrigo Bentancur,uy URU,MF,Tottenham,1997.0,24,20,1563,17.4,2,0,2,2,0,0,8,0,1.3,1.3,0.4,1.7,26,99,34,0.12,0.0,0.12,0.12,0.12,0.08,0.02,0.1,0.08,0.1,27.0
53,Daniel Bentley,eng ENG,GK,Wolves,1993.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
54,Sander Berge,no NOR,MF,Fulham,1998.0,29,25,2174,24.2,0,0,0,0,0,0,6,0,0.2,0.2,0.6,0.8,28,119,9,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.03,0.01,0.03,27.0
55,Lucas Bergvall,se SWE,MF,Tottenham,2006.0,27,11,1212,13.5,0,1,1,0,0,0,3,0,0.7,0.7,0.6,1.3,33,49,31,0.0,0.07,0.07,0.0,0.07,0.05,0.04,0.09,0.05,0.09,19.0
56,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,2002.0,29,28,2394,26.6,0,1,1,0,0,0,1,0,0.3,0.3,1.4,1.7,39,69,75,0.0,0.04,0.04,0.0,0.04,0.01,0.05,0.06,0.01,0.06,22.0
57,Beto,gw GNB,FW,Everton,1998.0,28,13,1357,15.1,8,0,8,8,0,0,2,0,7.0,7.0,0.8,7.8,12,12,72,0.53,0.0,0.53,0.53,0.53,0.46,0.06,0.52,0.46,0.52,27.0
58,Philip Billing,dk DEN,MF,Bournemouth,1996.0,10,1,184,2.0,0,0,0,0,0,0,1,0,0.6,0.6,1.1,1.7,3,15,13,0.0,0.0,0.0,0.0,0.0,0.28,0.54,0.82,0.28,0.82,28.0
59,Yves Bissouma,ml MLI,MF,Tottenham,1996.0,26,16,1345,14.9,2,0,2,2,0,0,7,0,0.6,0.6,0.3,0.9,15,74,3,0.13,0.0,0.13,0.13,0.13,0.04,0.02,0.06,0.04,0.06,28.0
60,Oscar Bobb,no NOR,FW,Manchester City,2003.0,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.44,0.0,0.44,21.0
61,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,2004.0,8,5,476,5.3,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.2,12,14,9,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,21.0
62,Willy Boly,ci CIV,DF,Nott'ham Forest,1991.0,6,1,150,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,2,0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,34.0
63,Sven Botman,nl NED,DF,Newcastle Utd,2000.0,6,4,287,3.2,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,4,0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,25.0
64,Jarrod Bowen,eng ENG,"FW,MF",West Ham,1996.0,32,32,2793,31.0,11,7,18,10,1,1,1,0,8.3,7.6,6.3,13.9,102,86,191,0.35,0.23,0.58,0.32,0.55,0.27,0.2,0.47,0.24,0.45,28.0
65,Conor Bradley,nir NIR,DF,Liverpool,2003.0,17,5,633,7.0,0,1,1,0,0,0,4,0,0.6,0.6,0.5,1.1,28,27,31,0.0,0.14,0.14,0.0,0.14,0.08,0.07,0.15,0.08,0.15,21.0
66,Jarrad Branthwaite,eng ENG,DF,Everton,2002.0,29,27,2438,27.1,0,1,1,0,0,0,4,0,1.2,1.2,0.7,1.8,9,64,2,0.0,0.04,0.04,0.0,0.04,0.04,0.02,0.07,0.04,0.07,22.0
67,James Bree,eng ENG,DF,Southampton,1997.0,16,12,985,10.9,0,1,1,0,0,0,0,0,0.1,0.1,0.9,1.0,12,31,37,0.0,0.09,0.09,0.0,0.09,0.01,0.08,0.09,0.01,0.09,27.0
68,Ben Brereton,cl CHI,FW,Southampton,1999.0,10,4,449,5.0,0,0,0,0,0,0,1,0,0.9,0.9,0.1,1.0,12,9,42,0.0,0.0,0.0,0.0,0.0,0.18,0.02,0.2,0.18,0.2,26.0
69,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,1998.0,16,6,605,6.7,1,0,1,1,0,0,1,0,1.5,1.5,0.6,2.1,17,12,27,0.15,0.0,0.15,0.15,0.15,0.22,0.1,0.32,0.22,0.32,27.0
70,Armando Broja,al ALB,FW,Everton,2001.0,10,4,334,3.7,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,12,2,26,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.08,0.03,0.08,23.0
71,David Brooks,wls WAL,"FW,MF",Bournemouth,1997.0,27,8,853,9.5,2,0,2,2,0,0,3,0,2.2,2.2,1.8,4.0,29,34,75,0.21,0.0,0.21,0.21,0.21,0.23,0.19,0.42,0.23,0.42,27.0
72,Emi Buendía,ar ARG,"MF,FW",Aston Villa,1996.0,12,0,98,1.1,0,0,0,0,0,0,1,0,0.7,0.7,0.0,0.7,3,7,6,0.0,0.0,0.0,0.0,0.0,0.6,0.02,0.62,0.6,0.62,28.0
73,Santiago Bueno,uy URU,DF,Wolves,1998.0,28,18,1683,18.7,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4,1,28,1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,26.0
74,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,2004.0,30,14,1504,16.7,5,2,7,5,0,0,8,0,3.9,3.9,3.1,7.0,39,54,72,0.3,0.12,0.42,0.3,0.42,0.24,0.18,0.42,0.24,0.42,20.0
75,Cameron Burgess,au AUS,DF,Ipswich Town,1995.0,18,16,1541,17.1,0,2,2,0,0,0,0,0,1.1,1.1,0.5,1.6,2,42,4,0.0,0.12,0.12,0.0,0.12,0.06,0.03,0.09,0.06,0.09,29.0
76,Dan Burn,eng ENG,DF,Newcastle Utd,1992.0,35,35,3150,35.0,1,1,2,1,0,0,10,0,1.8,1.8,0.9,2.7,9,63,12,0.03,0.03,0.06,0.03,0.06,0.05,0.02,0.08,0.05,0.08,33.0
77,Wes Burns,wls WAL,"FW,DF",Ipswich Town,1994.0,18,12,926,10.3,0,1,1,0,0,0,1,0,0.5,0.5,1.6,2.2,38,8,65,0.0,0.1,0.1,0.0,0.1,0.05,0.16,0.21,0.05,0.21,30.0
78,Nathan Butler-Oyedeji,eng ENG,FW,Arsenal,2003.0,1,0,7,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.94,0.94,0.94,22.0
79,Moisés Caicedo,ec ECU,"MF,DF",Chelsea,2001.0,36,36,3171,35.2,1,2,3,1,0,0,10,0,0.8,0.8,3.0,3.8,40,204,35,0.03,0.06,0.09,0.03,0.09,0.02,0.09,0.11,0.02,0.11,23.0
80,Tom Cairney,sct SCO,MF,Fulham,1991.0,23,2,510,5.7,1,0,1,1,0,0,3,1,0.2,0.2,1.0,1.2,15,48,32,0.18,0.0,0.18,0.18,0.18,0.04,0.17,0.21,0.04,0.21,34.0
81,Jens Cajuste,se SWE,MF,Ipswich Town,1999.0,28,23,1812,20.1,1,0,1,1,0,0,2,0,0.5,0.5,0.6,1.1,23,46,16,0.05,0.0,0.05,0.05,0.05,0.02,0.03,0.05,0.02,0.05,25.0
82,Riccardo Calafiori,it ITA,DF,Arsenal,2002.0,18,11,938,10.4,2,1,3,2,0,0,4,0,0.9,0.9,0.3,1.1,21,54,29,0.19,0.1,0.29,0.19,0.29,0.08,0.03,0.11,0.08,0.11,22.0
83,Dominic Calvert-Lewin,eng ENG,FW,Everton,1997.0,24,19,1589,17.7,3,1,4,3,0,0,2,0,6.3,6.3,0.6,6.9,22,19,108,0.17,0.06,0.23,0.17,0.23,0.35,0.04,0.39,0.35,0.39,28.0
84,Diego Carlos,br BRA,DF,Aston Villa,1993.0,10,8,830,9.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,3,34,0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,32.0
85,Fabio Carvalho,pt POR,"FW,MF",Brentford,2002.0,19,3,455,5.1,2,1,3,2,0,0,1,0,2.5,2.5,0.7,3.2,9,17,23,0.4,0.2,0.59,0.4,0.59,0.49,0.13,0.62,0.49,0.62,22.0
86,Casemiro,br BRA,MF,Manchester Utd,1992.0,22,16,1335,14.8,1,0,1,1,0,0,3,0,1.7,1.7,2.3,3.9,4,70,26,0.07,0.0,0.07,0.07,0.07,0.11,0.15,0.27,0.11,0.27,33.0
87,Kaelan Casey,eng ENG,DF,West Ham,2004.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
88,Matty Cash,pl POL,DF,Aston Villa,1997.0,25,22,1890,21.0,1,1,2,1,0,0,6,0,0.4,0.4,1.1,1.4,46,39,76,0.05,0.05,0.1,0.05,0.1,0.02,0.05,0.07,0.02,0.07,27.0
89,Eiran Cashin,ie IRL,DF,Brighton,2001.0,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
90,Timothy Castagne,be BEL,DF,Fulham,1995.0,24,17,1649,18.3,0,1,1,0,0,0,1,0,0.4,0.4,1.2,1.6,17,62,67,0.0,0.05,0.05,0.0,0.05,0.02,0.07,0.09,0.02,0.09,29.0
91,Trevoh Chalobah,eng ENG,DF,Crystal Palace,1999.0,12,12,1060,11.8,3,0,3,3,0,0,1,0,1.2,1.2,0.4,1.6,11,34,6,0.25,0.0,0.25,0.25,0.25,0.1,0.03,0.14,0.1,0.14,25.0
92,Trevoh Chalobah,eng ENG,DF,Chelsea,1999.0,13,11,910,10.1,0,1,1,0,0,0,2,0,0.8,0.8,1.2,2.0,4,37,2,0.0,0.1,0.1,0.0,0.1,0.08,0.12,0.19,0.08,0.19,25.0
93,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,1997.0,20,9,768,8.5,1,1,2,1,0,0,2,0,1.2,1.2,0.7,1.9,11,27,20,0.12,0.12,0.23,0.12,0.23,0.14,0.08,0.22,0.14,0.22,28.0
94,Youssef Chermiti,pt POR,"FW,MF",Everton,2004.0,4,0,45,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,1,6,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,0.22,0.22,20.0
95,Federico Chiesa,it ITA,FW,Liverpool,1997.0,5,0,46,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,2,7,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.49,0.49,0.49,27.0
96,Ben Chilwell,eng ENG,DF,Crystal Palace,1996.0,7,0,169,1.9,0,0,0,0,0,0,1,0,0.1,0.1,0.7,0.8,2,6,12,0.0,0.0,0.0,0.0,0.0,0.04,0.39,0.43,0.04,0.43,28.0
97,Chiquinho,pt POR,MF,Wolves,2000.0,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42,0.0,0.42,25.0
98,Hamza Choudhury,bd BAN,"MF,DF",Leicester City,1997.0,4,1,131,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,4,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.27,0.0,0.27,27.0
99,Ryan Christie,sct SCO,MF,Bournemouth,1995.0,29,27,2117,23.5,2,3,5,2,0,0,9,0,1.8,1.8,3.5,5.4,34,137,44,0.09,0.13,0.21,0.09,0.21,0.08,0.15,0.23,0.08,0.23,30.0
100,Harry Clarke,eng ENG,DF,Ipswich Town,2001.0,7,4,379,4.2,0,0,0,0,0,0,3,1,0.1,0.1,0.0,0.1,5,14,2,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,24.0
101,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,2000.0,30,11,1090,12.1,0,4,4,0,0,0,2,0,1.0,1.0,2.1,3.0,34,38,48,0.0,0.33,0.33,0.0,0.33,0.08,0.17,0.25,0.08,0.25,24.0
102,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,1991.0,13,5,483,5.4,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,6,7,8,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,34.0
103,Conor Coady,eng ENG,DF,Leicester City,1993.0,20,17,1534,17.0,1,0,1,1,0,0,2,0,0.4,0.4,0.1,0.5,3,30,0,0.06,0.0,0.06,0.06,0.06,0.02,0.0,0.03,0.02,0.03,32.0
104,Séamus Coleman,ie IRL,DF,Everton,1988.0,4,2,198,2.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,1,9,3,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26,36.0
105,Nathan Collins,ie IRL,DF,Brentford,2001.0,36,36,3240,36.0,2,3,5,2,0,0,5,0,2.5,2.5,1.8,4.3,30,121,18,0.06,0.08,0.14,0.06,0.14,0.07,0.05,0.12,0.07,0.12,24.0
106,Toby Collyer,eng ENG,MF,Manchester Utd,2004.0,6,0,179,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,0,5,2,0.0,0.0,0.0,0.0,0.0,0.09,0.13,0.22,0.09,0.22,21.0
107,Levi Colwill,eng ENG,DF,Chelsea,2003.0,33,33,2969,33.0,1,1,2,1,0,0,9,0,1.3,1.3,1.1,2.5,14,126,11,0.03,0.03,0.06,0.03,0.06,0.04,0.03,0.07,0.04,0.07,22.0
108,Lewis Cook,eng ENG,"MF,DF",Bournemouth,1997.0,35,31,2906,32.3,1,3,4,1,0,0,8,0,0.9,0.9,4.1,5.1,33,155,51,0.03,0.09,0.12,0.03,0.12,0.03,0.13,0.16,0.03,0.16,28.0
109,Maxwel Cornet,ci CIV,FW,Southampton,1996.0,2,1,72,0.8,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,0,5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,28.0
